StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q104,Q2,Q3,Q4,Q6,Q8,Q10,Q9,Q105,Q12,Q12_1_TEXT,Q12_2_TEXT,Q12_3_TEXT,Q12_4_TEXT,Q12_5_TEXT,Q12_6_TEXT,Q12_7_TEXT,Q16,Q17,Q19,Q18,Q20_1,Q34,Q35,Q26,Q27,Q28,Q28_1_TEXT,Q28_2_TEXT,Q28_3_TEXT,Q28_4_TEXT,Q28_5_TEXT,Q28_6_TEXT,Q28_7_TEXT,Q29,Q36_1,Q37,Q107,Q109,Q31,Q28,Q29TITOYW,Q29_20_TEXT,Q30,Q31,Q32,Q34,Q34_20_TEXT,Q35,Q36,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q44_1_TEXT,Q45,Q45_1_TEXT,Q49,Q49_1_TEXT,Q46,Q46_1_TEXT,Q47,Q50,Q51,Q97_4,Q98,Q52,Q99_4,Q100,Q53,Q101_4,Q102,Q54,Q55,Q56,Q57,Q58_1,Q59,Q59_4_TEXT,Q60,Q61,Q62_1,Q63,Q63_4_TEXT,Q64_1,Q65,Q66,Q66_9_TEXT,Q68,Q69,Q71,Q73_1,Q74,Q76,Q75,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90_1,Q90_2,Q91_1,Q106,Q92,Q92_10_TEXT,Q93,Q28_3_TEXT - Parent Topics,Q28_3_TEXT - Sentiment Polarity,Q28_3_TEXT - Sentiment Score,Q28_3_TEXT - Sentiment,Q28_3_TEXT - Topic Sentiment Label,Q28_3_TEXT - Topic Sentiment Score,Q28_3_TEXT - Topics
4/7/2020 13:30,4/7/2020 13:41,IP Address,71.184.27.65,100,693,TRUE,4/7/2020 13:41,R_1dNaMAdMGyjPXL9,,,,,41.728302,-70.44000244,anonymous,EN,Yes,a very happy person,moderately happier,6-,2-,"I feel especially grateful for the people and experiences teaching me how to find the goodness in life. It's thanks to people serving as role models and actively supporting me that I've had the chance to experience a wide range of life events with a sense of gratitude and joy, finding it even in the very most difficult times I've face. ",,Yes,5 hours/week,,,,,,,,,"5 hours/week reflects volunteering experiences outside of my time in AmeriCorps VISTA, which was an outlier in my life because it was full-time.  ",Yes,Unpaid,Federal Government,,4-Feb,Homeless shelters ,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),"Asante Twi, French, Nafaana",Yes (please specify),"Yes, absolutely. It taught me so much about working with other people that unlocks potential every day. ",Yes (please specify),"Yes, absolutely, in that it taught me to find the best path, to be patient and resourceful, and to trust in others for collaboration. ",Yes (please specify),"Yes, without a doubt. I feel so much more adaptable and resilient. I'm often limited by a lack of knolwedge about a particular situation, but I find myself less of a bottleneck/barrier to success than before. ","Communication. I learned so much about communicating in ways that facilitates and supports dialogue, especially learning to put my ego/self-interests/ideas/perspective to the side and to better listen to trust other people. I'm a medical student and feel this is key to my life and the wellness of others. ",Yes,No,,,,,,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,Before Peace Corps service,Yes,1993,Massachusetts,"Falmouth, MA",Rural,Rural,Moderately better off,Both,Yes,Lower middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Male,Single (never married),4-year college graudate,Natural sciences,2016,2018,27,Ghana!!!,Friend,,Because I love and trust PCVs ,,,,,,,
4/7/2020 13:53,4/7/2020 14:02,IP Address,152.133.6.14,100,538,TRUE,4/7/2020 14:02,R_3M0hMKASDBXqy1L,,,,,42.55110168,-71.2559967,anonymous,EN,Yes,about average,moderately unhappier,4- neutral,6-,,,Yes,,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?",20,40,0,,40,,,,Yes,Paid,Federal Government,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes (please specify),Kinyarwanda,No,,Yes (please specify),,Yes (please specify),,,No,Prefer to not respond,,Yes,No,,,Yes,,Yes,No,Medium confidence,No,No,,,,,Before Peace Corps service,,Local,,6,No,Charity,,Sometimes,Before Peace Corps service,No,1991,Massachusetts,Assonet,Suburban,Urban,Moderately better off,Both,Yes,Lower middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Male,Single (never married),4-year college graudate,Humanities,2015,2017,26,Rwanda,Social Media,,To social network,,,,,,,
4/7/2020 14:23,4/7/2020 14:42,IP Address,170.97.67.112,100,1158,TRUE,4/7/2020 14:42,R_2QFCzBDAotsDwA6,,,,,38.95379639,-76.8946991,anonymous,EN,Yes,slightly unhappy,slightly unhappier,4- neutral,3-,,,Yes,8,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",3,5,,,,,,,No,,,3,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,No,,Yes (please specify),Worked with diverse groups of Americans and locals. Developed an appreciation for different cultural approaches to problem solving.,Yes (please specify),"Volunteers do not have many financial resources available to solve problems so identifying other resources is essential. The outsider perspective enables Volunteers to identify people, buildings,in-kind donations, etc. which might otherwise be missed.",Yes (please specify),Learned to be flexible with time (Americans are obsessed with time!) and the importance of developing close relationships and trust in solving local problems. It was important to socialize with local population and listen more than I talked.  ,"While general interpersonal soft skills developed in Peace Corps have been useful, I did not gain any hard skills useful in my career path/current job.",Yes,Yes,96,Yes,Yes,95,Yes,Yes,96,Yes,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,Both,No,1977,California,Huntington Beach,Suburban,Suburban,Slightly better off,Father,Yes,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Single (never married),Advanced Degree,Humanities,2001,2004,27,,Alumni,,"Socializing, professional networking, to support recent RPCVs and help recruit future Volunteers.",,,,,,,
4/7/2020 16:47,4/7/2020 16:59,IP Address,75.69.164.32,100,711,TRUE,4/7/2020 16:59,R_1PZgwBJm8PiAAgm,,,,,42.24630737,-70.99720001,anonymous,EN,Yes,a very happy person,moderately happier,6-,2-,,,No,,,,,,,,,,,No,,,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Yes (please specify),Portuguese ,Yes (please specify),"Working with people who have different communication styles, cultures, backgrounds, and those who have different managerial styles  ",Yes (please specify),Being resourceful is a must in PC and learning to be flexible/adaptable to unexpected situations. I feel i navigate situations like these easier and smoother vs becoming overwhelmed and stressed.,Yes (please specify),"Yes, as I mentioned above. I work with a culturally diverse team and serve a diverse community. I’ve learned to value other people’s work experiences and backgrounds when problem solving at work. ","Adaptability, flexibility, resourcefulness, and RESILIENCY!!",Yes,Yes,2,No,Yes,1,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,,After Peace Corps service,Yes,1992,New Hampshire,Derry,Suburban,Urban,Slightly better off,Both,Yes,Lower middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),4-year college graudate,Other,2016,2018,27,Mozambique ,Friend,,To stay connected to my fellow RPCVs!,,,,,,,
4/7/2020 17:32,4/7/2020 17:51,IP Address,146.115.171.6,100,1178,TRUE,4/7/2020 17:51,R_2w5XVAzpM4d8VsR,,,,,42.36599731,-71.22709656,anonymous,EN,Yes,moderately happy,slightly happier,5-,5-,No,No ,No,,,,,,,,,,,No,,,0,2-Jan,,Yes,8,Other form of volunteering?,,,,,,,8,Serve as representative on graduate student council,10,No,Paid,,No,"Employed, at work","Professional and business services,Leisure and hospitality",,"Part-Time Student employee at a University, Part-Time Waitress",0,,"Professional and business services,Leisure and hospitality",,Between 6 months and 1 year,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes (please specify),Portuguese,Yes (please specify),Learned how to work with people of a different culture and beliefs,Yes (please specify),Able to think of new ways to solve unforeseen problems,,,"Yes, I’m in grad school studying sustainable development and social impact. Hoping to learn ways to improve upon the skills I developed in Peace Corps",Yes,Yes,25,Yes,Yes,2,,Yes,16,Yes,Yes,High/medium confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,,Yes,1990,Ohio,Strongsville ,Suburban,Suburban,Moderately better off,Both,Yes,Lower middle class,"$0 - $25,000",Asian (including Indian subcontinent and Philippines origin)*,No,No,Female,Single (never married),Advanced Degree,Other,2016,2019,30,Mozambique ,Friend,,Another RPCV recommended it,,,,,,,
4/7/2020 17:49,4/7/2020 17:53,IP Address,73.163.190.181,100,242,TRUE,4/7/2020 17:53,R_1NaUTQOnqdDdwaJ,,,,,38.90339661,-76.98819733,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2020 18:08,4/7/2020 18:27,IP Address,47.14.130.51,100,1182,TRUE,4/7/2020 18:27,R_2wEPuRefGwjpoxT,,,,,42.17529297,-71.60169983,anonymous,EN,Yes,a very happy person,much happier,7- a great deal,2-,,,No,,,,,,,,,,,No,,,5,8+,Various environmental studied amphibians  and bees,Yes,20 hours,,,,,,,,, ,15,Yes,Unpaid,Local Government,Yes,"Not in labor force, retired",State and local government,,Zoning Board of Appeals member,0,,"Professional and business services,Other (please specficy)",Retired,Less than 6 months,0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Yes (please specify),Georgian,Yes (please specify),My role changed from leader to mentor,Yes (please specify),Cultural enhancenent,No,,Language and cultural emersion,Yes,Yes,70,Yes,Yes,70,Yes,Yes,88,Yes,Yes,High confidence,After Peace Corps service,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,Both,Yes,1961,Connecticut,Danbury,Suburban,Suburban,Moderately worse off,Neither,Yes,Upper class/top 1%,,White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Business or trade,2017,2019,27,Georgia,Other,I knew about PeaceCorps,Stay in touch;attend events and engage,,,,,,,
4/7/2020 23:51,4/8/2020 0:09,IP Address,41.60.100.221,100,1084,TRUE,4/8/2020 0:09,R_5ikTumagCMhl02d,,,,,-17.81500244,31.04780579,anonymous,EN,No,a very happy person,much happier,7- a great deal,1- not at all,I have been fortunate enough in my life to be able to go after things in my career that make me happy,,Yes,15,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?",,2,,,5,8,,,No,,,3,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,1,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Yes (please specify),Malagasy,Yes (please specify),teamwork and leadership,Yes (please specify),"broadened my scope to better understand the problem, and saw various ways of solving problems as opposed to my typical way",Yes (please specify),being in a very different environment forced one to think about things in a different way and learn from your community,,Yes,Yes,100,No,Yes,100,No,Yes,100,No,No,High confidence,No,No,,,,,No,,,,,No,,,,,,1987,Massachusetts,Dartmouth,Suburban,Urban,About the same,Father,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Other,2015,2018,40,Madagascar,Website,,I have not joined,,,,,,,
4/8/2020 1:31,4/8/2020 1:46,IP Address,41.190.230.170,100,906,TRUE,4/8/2020 1:46,R_2dhUR2etw5HCSCK,,,,,16,8,anonymous,EN,Yes,a very happy person,about the same,7- a great deal,1- not at all,Peace Corps taught me to appreciate life's little joys,N/A,Yes,10,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?",,,,,,,,,No,,,,8+,I'm interning as a MSW student this semester. I am not paid,Yes,40,International organizations?,,,,,,,,,,No,,,No,"Not in labor force, student",Nonprofit,,MSW Student intern,2,Life coach to girls at risk or victims of sexual exploitation,Student,,Less than 6 months,0,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Yes (please specify),French,Yes (please specify),"Yes. language skill, cross cultural sensitivity, flexibility",Yes (please specify),"Yes, working with very little resources to launch projects",Yes (please specify),"Yes, thinking outside of the box and ttrusting those other than myself for possible solutions","Grant writing, applying for grants, creating a budget, creating lesson plans, project planning ",Yes,Yes,1,No,No,,,Yes,1,No,Yes,High confidence,No,No,,,,,No,,,,,After Peace Corps service,Issue-oriented group,,Sometimes,After Peace Corps service,Yes,1991,South Carolina,Blythewood,Rural,Urban,Moderately worse off,Neither,Yes,Lower middle class,"$0 - $25,000",Black or African American,No,No,Female,Single (never married),Advanced Degree,Social sciences,2013,2016,39,Benin,Other,Classmate,To travel and to better inform my career choice ,,,,,,,
4/8/2020 6:07,4/8/2020 6:17,IP Address,24.147.41.29,100,602,TRUE,4/8/2020 6:17,R_1dFwrfYtYtGauw9,,,,,41.69259644,-71.1332016,anonymous,EN,Yes,a very happy person,moderately happier,6-,2-,,,Yes,90,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,5,80,5,,,,,Yes,,,,2-Jan,,Yes,5,Other form of volunteering?,,,,,,,5,,2,Yes,Paid,,Yes,"Employed, at work",Nonprofit,,Immigration Staff Attorney,5-Mar,Law Clerk; Immigration Staff Attorney,Nonprofit,,Between 6 months and 1 year,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),Cape Verdean Creole; Portuguese,Yes (please specify),Learned to work with all different kinds of people ,Yes (please specify),Learned to think outside the box,Yes (please specify),Learned to work with what I had available ,Cultural competency,Yes,No,,,,,,Yes,100,No,Yes,High confidence,Both,No,,,,,No,,,,,No,,,,After Peace Corps service,Yes,1989,California,Monterey,Rural,Rural,Slightly worse off,Both,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Social sciences,2011,2013,29,Cape Verde; Mozambique ,Other,I don’t remember ,Wanted to stay connected to RPCVs,,,,,,,
4/7/2020 12:31,4/8/2020 6:48,IP Address,8.3.84.115,100,65839,TRUE,4/8/2020 6:48,R_RaEqtOWbTb9lMRj,,,,,42.34739685,-71.15820313,anonymous,EN,Yes,about average,about the same,3-,4- neutral,,,No,,,,,,,,,,,No,,,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes (please specify),Albanian,No,,Yes (please specify),It definitely helped me learn to come up with creative solutions in unexpected situations,Yes (please specify),"My experience meant living for 26 months in a completely different culture, so yes",,Yes,Yes,50,Yes,Yes,80,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,Other (please specify):,N/a,N/A or Prefer not to answer,Before Peace Corps service,Yes,1988,Massachusetts,North Reading,Suburban,Urban,About the same,Father,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Male,Single (never married),4-year college graudate,Business or trade,2017,2019,27,Albania,Website,,I wanted to meet new people with shared experiences,,,,,,,
4/8/2020 8:17,4/8/2020 8:23,IP Address,71.233.157.133,100,377,TRUE,4/8/2020 8:23,R_231SzuortpsltHS,,,,,42.36489868,-71.09870148,anonymous,EN,Yes,slightly happy,about the same,4- neutral,5-,,,Yes,20/month,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",,20/month,,,,,,,Yes,Paid,,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes (please specify),Georgian,Yes (please specify),more flexible and pstient,Yes (please specify),Definitely helps you be creative with solitions,Yes (please specify),Allows me to be patient with others and consider differences,,Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,,After Peace Corps service,No,1992,Wisconsin,Whitefish Bay,Suburban,Urban,About the same,Both,Yes,Middle class,"$25,001 - $75,000",Asian (including Indian subcontinent and Philippines origin)*,No,No,Female,Single (never married),Advanced Degree,Social sciences,2015,2017,27,Republic of Georgia ,Peace Corps Alumni,,,,,,,,,
4/8/2020 8:33,4/8/2020 8:42,IP Address,70.230.102.123,100,508,TRUE,4/8/2020 8:42,R_3MGWl3uUzduiQeU,,,,,29.64709473,-95.48709869,anonymous,EN,Yes,a very happy person,slightly happier,6-,3-,,,Yes,3,"Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,,,3,,,,,No,,,2,2-Jan,Food + hunger ,No,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Strongly agree,Somewhat agree,Yes (please specify),"Spanish, Ngäbere ",Yes (please specify),"Leadership in teams, patience ",Yes (please specify),Using outside resources ,Yes (please specify),Experience in diverse environments ,,Yes,Yes,5,Prefer to not respond,Prefer to not respond,,Prefer to not respond,Yes,50,Prefer to not respond,Yes,High confidence,After Peace Corps service,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,,Yes,1992,Texas,Austin ,Suburban,Urban,Moderately better off,Both,No,Middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),4-year college graudate,Natural sciences,2017,2019,25,Panama ,Peace Corps table/fair,,,,,,,,,
4/8/2020 8:34,4/8/2020 8:58,IP Address,204.243.177.70,100,1435,TRUE,4/8/2020 8:58,R_3fACdMSZTu8kkoy,,,,,42.37249756,-71.18139648,anonymous,EN,Yes,a very happy person,moderately happier,7- a great deal,1- not at all,"I think the use of ""happiness"" in this survey is misguided. There is reference to ""well-being"" which sounds like it is meant to be synonymous with ""happiness"". I answered as if the responses were focused more on fulfillment/satisfaction with life rather than ""happiness"". Being constantly in a ""happy"" state I think is rarely the human experience, we feel a broad spectrum of emotions, and no single one can define how we appreciate our lives.","To expand on the issue I have with the use of the word ""happiness"", I would use my peace corps service as an example. I was not happy many moments throughout my service there, because things did not always go as planned. The experience of growing from those hard times, feeling awkward, sometimes embarrassed, frustrated, etc only made the experience richer, though. It was one of the most genuine, raw situations I have been in and it mad me feel immensely appreciative of being there and since then, help me appreciate any situation I find myself in. ",Yes,2,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Other form of public service?",,2,,,,,,,Was never employed,,,,2-Jan,student mentorship,Yes,8,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",,8,,,,,,,,No,,,Am not looking for work,"Employed, at work",Professional and business services,,Civil Engineer,1,"You should define such a subjective word like ""important"". ",Professional and business services,,Between 1 year and 2 years,1,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Yes (please specify),Spanish,Yes (please specify),Being able to communicate ideas across different backgrounds and education levels.,Yes (please specify),I was working on a construction project with limited resources so problem solving was always necesary.,Yes (please specify),It did but the answer was spoon fed to me here. It helped me adapt and solve problems because I WAS in diverse environments than what I am used to.,"Communication skills, creativity in problem solving, being resourceful, understanding different perspectives, facilitating conversations, mentoring, etc",Yes,Yes,80,Yes,Yes,80,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,,,Yes,1991,Rhode Island,Cranston,Suburban,Urban,Slightly worse off,Neither,Yes,Middle class,"$25,001 - $75,000",Other,Yes,No,Female,Single (never married),Advanced Degree,Other,2015,2017,25,Panama,Website,,To stay connected with like minded individuals.,,,,,,,
4/8/2020 8:59,4/8/2020 9:16,IP Address,173.28.248.16,100,1026,TRUE,4/8/2020 9:16,R_AFjlO4D2pDowREd,,,,,41.53999329,-90.56400299,anonymous,EN,Yes,a very happy person,moderately happier,6-,1- not at all,,,Yes,,,,,,,,,,,No,,,2,,,Yes,,,,,,,,,,,2,No,,,No,,,,Student,0,,,,,,Somewhat agree,Strongly agree,,Somewhat agree,Strongly agree,,Yes (please specify),Portuguese,Yes (please specify),More ways than I can count,Yes (please specify),In so many ways,Yes (please specify),I think completely different and more inclusively now,,Yes,Yes,8,Yes,Yes,94,Yes,Yes,100,No,Yes,High confidence,Both,No,,,,,Both,11,Other,All,20,No,,,,Both,Yes,1988,Iowa,Davenport,Suburban,Suburban,Moderately better off,Both,Yes,Middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Male,Single (never married),4-year college graudate,Social sciences,2015,2018,39,Mozambique,Other,"Multiple of these, including family, website, alumni, social media, PC table/fair",It is a way to continue involvement and be part of a great organization and mission,,,,,,,
4/8/2020 13:14,4/8/2020 13:37,IP Address,73.17.40.164,100,1363,TRUE,4/8/2020 13:37,R_3rP8WWuBETw4h1A,,,,,41.75990295,-72.75740051,anonymous,EN,Yes,a very happy person,moderately happier,4- neutral,2-,,,Yes,40,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?",,20,20,,,,,,Yes,Unpaid,Federal Government,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),Portuguese,Yes (please specify),"Listening, collaboration, thinking of complex processes instead of just focusing on individual factors. ",Yes (please specify),It gave me a bunch of experiences that I wouldn’t have otherwise had. I got used to constantly thinking through the complexity of huge problems. ,Yes (please specify),"Speaking a different language, paying attention to customs and cultural cues that I wasn’t used to.","Language skills, a high level of resiliency and ability to self motivate, a stronger understanding of my own values and how to align my personal and professional life with that in mind, confidence dealing with ambiguity and leading without clear instruction or training, ability to set and enforce personal and professional boundaries.",Yes,Yes,3,Yes,Yes,4,Yes,Yes,,Yes,Yes,High confidence,Both,No,,,,,Both,,Federal,,,No,,,,After Peace Corps service,No,1994,Michigan,Grand Rapids,Suburban,Urban,Much better off,Both,Yes,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),4-year college graudate,Social sciences,2016,2018,27,Mozambique ,Peace Corps Alumni,,,,,,,,,
4/10/2020 6:24,4/10/2020 6:35,IP Address,73.16.168.218,100,619,TRUE,4/10/2020 6:35,R_1DU4W8mkeQB4RTQ,,,,,42.36399841,-71.02649689,anonymous,EN,Yes,moderately happy,moderately happier,6-,2-,,,Yes,20,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?",,15,5,,,,,,No,,,4,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Yes (please specify),Spanish,Yes (please specify),"Yes -- through community organizing, and learning how to work with others different from yourself.",Yes (please specify),"Yes, you need to challenge all your assumptions and pre-concieved notions. ",Yes (please specify),Absolutely. Learn how to work in resource-limited settings and with people with different perspectives. ,"Listening, cross-cultural communication, creativity in regards to problem solving, respect for other cultures and perspectives, project planning, grant writing, facilitation/training",Yes,Yes,4,Yes,Yes,91,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,Before Peace Corps service,No,1987,Massachusetts,Wellesley,Suburban,Urban,Moderately better off,Both,No,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Female,Married,Advanced Degree,Social sciences,2009,2011,27,Dominican Republic,Website,,Stay involved in the Peace Corps family,,,,,,,
4/10/2020 6:28,4/10/2020 6:47,IP Address,18.20.240.222,100,1117,TRUE,4/10/2020 6:47,R_ezX0Z9Ap64NDnYR,,,,,42.36489868,-71.09870148,anonymous,EN,Yes,moderately happy,much happier,5-,2-,,,Yes,8,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?",0,6,2,0,0,0,,,Was never employed,,,,2-Jan,Tutoring,Yes,4,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?",,4,,,,,,,10,No,,,No,"Employed, at work",Student,,Graduate student,2,"Teacher, graduate student",Student,,Between 6 months and 1 year,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Yes (please specify),Sesotho,Yes (please specify),"Yes, I am more patient working with people and more creative about team work",Yes (please specify),"I think more completely about problems, considering things like race and gender in a way that I wouldn't have before Peace Corps",Yes (please specify),More empathy for a wdier variety of people,"Teaching, creative problem solving, time management",Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,Before Peace Corps service,1,Federal,,1,No,,,N/A or Prefer not to answer,,No,1994,Maryland,Laurel,Suburban,Urban,Moderately better off,Both,No,Middle class,"$25,001 - $75,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),4-year college graudate,Natural sciences,2016,2018,26,Lesotho,Friend,,To keep connected with other RPCVs,,,,,,,
4/10/2020 6:53,4/10/2020 7:01,IP Address,73.68.239.32,100,471,TRUE,4/10/2020 7:01,R_3D7RUOvzyS9kGoY,,,,,41.66459656,-70.34519958,anonymous,EN,Yes,a very happy person,moderately happier,7- a great deal,1- not at all,No,No,No,,,,,,,,,,,No,,,5,0,None currently with COVID-19 and living with an at risk person. I have volunteered for Special Olympics and road races.,No,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Yes (please specify),French,Yes (please specify),I have learned to work with people of other cultures.,Yes (please specify),I had to figure everything out myself instead of asking others for help.,Yes (please specify),All of the problems I faced and adapted to were done in another environment. It is hard to put exactly how into words.,"Patience, flexibility, empathy. I do not currently work but in the fall I will be going to law school with the plan to become a human rights attorney and that is because of my Peace Corps experience as a volunteer.",Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,Both,Yes,1991,New York,Bronxville,Suburban,Rural,Moderately better off,Both,No,Upper middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Humanities,2017,2019,27,Cameroon,Website,,I wanted to connect with others who had experiences as I did that nobody else would really understand.,,,,,,,
